user_id,user_name,user_email,user_phone_number,created_at,tenant_id,user_address
USR-00001,Michael Davis MD,larsenmatthew@example.net,6034383223,2026-05-15 03:15:29,TNT-0197,"{""street"": ""476 Jennifer Drives Apt. 389"", ""city"": ""Swansonton"", ""state"": ""NJ"", ""zipcode"": ""43784""}"
USR-00002,Mary Lopez,charlesrodriguez@example.com,9072499516,2026-05-14 03:15:29,TNT-0160,"{""street"": ""2602 Glass Oval"", ""city"": ""Janechester"", ""state"": ""VI"", ""zipcode"": ""56416""}"
USR-00003,Ryan Williams,ftyler@example.org,8753681753,2026-05-26 23:15:29,TNT-0199,"{""street"": ""321 Lisa Park"", ""city"": ""South Patrickshire"", ""state"": ""WV"", ""zipcode"": ""73158""}"
USR-00004,Angela Torres,dominiquedavidson@example.net,6205014008,2026-06-02 23:15:29,TNT-0046,"{""street"": ""6817 Donald Locks Suite 995"", ""city"": ""Karenfurt"", ""state"": ""ME"", ""zipcode"": ""85006""}"
USR-00005,Amanda Woodward,everettdarryl@example.net,8312626548,2026-05-10 10:15:29,TNT-0094,"{""street"": ""18975 Andrew Locks"", ""city"": ""New Angela"", ""state"": ""MI"", ""zipcode"": ""93171""}"
USR-00006,Teresa Sawyer,burgessdenise@example.net,9591031681,2026-05-30 07:15:29,TNT-0129,"{""street"": ""668 Benjamin Lane Apt. 682"", ""city"": ""Michaelburgh"", ""state"": ""TX"", ""zipcode"": ""73661""}"
USR-00007,Toni Anthony,danielwest@example.com,8477235799,2026-05-11 10:15:29,TNT-0062,"{""street"": ""725 Barnett Fort"", ""city"": ""Annaborough"", ""state"": ""VT"", ""zipcode"": ""69991""}"
USR-00008,Ashley Harris,ahunter@example.net,6909555926,2026-05-11 03:15:29,TNT-0121,"{""street"": ""95663 Galvan Square"", ""city"": ""Janicestad"", ""state"": ""UT"", ""zipcode"": ""14767""}"
USR-00009,Sean Hill,amaxwell@example.net,7943193904,2026-05-14 15:15:29,TNT-0152,"{""street"": ""55268 Sanders Streets Apt. 323"", ""city"": ""Brandiville"", ""state"": ""LA"", ""zipcode"": ""27505""}"
USR-00010,Angela Strickland,tamarabrown@example.net,9830595085,2026-05-13 09:15:29,TNT-0009,"{""street"": ""64336 Gilbert Flats"", ""city"": ""West Lauren"", ""state"": ""TN"", ""zipcode"": ""13901""}"
USR-00011,Kimberly Cunningham,cindy21@example.net,6910911059,2026-06-04 02:15:29,TNT-0187,"{""street"": ""654 Hall Trafficway"", ""city"": ""West Andrew"", ""state"": ""ME"", ""zipcode"": ""99651""}"
USR-00012,Michael Nelson,tlloyd@example.com,8930245662,2026-05-13 01:15:29,TNT-0001,"{""street"": ""14404 Randy Plains"", ""city"": ""South Michael"", ""state"": ""MO"", ""zipcode"": ""21015""}"
USR-00013,Frederick Durham,rangelvictoria@example.org,9631172565,2026-05-05 23:15:29,TNT-0134,"{""street"": ""8924 Villa Drive"", ""city"": ""Lake Adamview"", ""state"": ""SD"", ""zipcode"": ""40205""}"
USR-00014,Andrew Ortiz,jonescarlos@example.org,7577261870,2026-05-26 19:15:29,TNT-0014,"{""street"": ""6606 Murray Prairie Apt. 168"", ""city"": ""Lake Alfredstad"", ""state"": ""KY"", ""zipcode"": ""24076""}"
USR-00015,Melissa Arellano,donnashea@example.com,8058912133,2026-05-12 16:15:29,TNT-0090,"{""street"": ""22229 Davis Groves Suite 100"", ""city"": ""Powellhaven"", ""state"": ""GA"", ""zipcode"": ""67503""}"
USR-00016,Jody Parsons,timothyholmes@example.com,7696027642,2026-05-30 15:15:29,TNT-0166,"{""street"": ""69661 Ashley Lock Suite 277"", ""city"": ""North Christopherburgh"", ""state"": ""VA"", ""zipcode"": ""09441""}"
USR-00017,Henry Jones,stephensonrebecca@example.net,6533414987,2026-06-02 17:15:29,TNT-0197,"{""street"": ""5558 Sloan Cliffs Suite 965"", ""city"": ""Ericmouth"", ""state"": ""TX"", ""zipcode"": ""39642""}"
USR-00018,Erica Baker,torresjulia@example.net,8859576556,2026-05-16 15:15:29,TNT-0139,"{""street"": ""7394 Cynthia Underpass Suite 380"", ""city"": ""Lake Michaelshire"", ""state"": ""AZ"", ""zipcode"": ""70035""}"
USR-00019,Eugene Duncan,ashleycurtis@example.net,8465431041,2026-05-27 11:15:29,TNT-0157,"{""street"": ""791 Franklin Ville Apt. 231"", ""city"": ""Hahnshire"", ""state"": ""OH"", ""zipcode"": ""71474""}"
USR-00020,Kelly Snyder,jessica18@example.net,8729749914,2026-05-11 06:15:29,TNT-0140,"{""street"": ""77154 Alejandra Flats Suite 348"", ""city"": ""Jacquelineview"", ""state"": ""IA"", ""zipcode"": ""83087""}"
USR-00021,Kerri Taylor,jwilson@example.com,7638269008,2026-05-20 12:15:29,TNT-0077,"{""street"": ""9267 Bonilla Crossing Suite 942"", ""city"": ""Dawsonland"", ""state"": ""GA"", ""zipcode"": ""22983""}"
USR-00022,Allison Buchanan,ujohnson@example.com,8811436322,2026-06-02 18:15:29,TNT-0143,"{""street"": ""0393 Tina Landing Apt. 506"", ""city"": ""Moorefort"", ""state"": ""VI"", ""zipcode"": ""94647""}"
